state,location,address,latitude,longitude
ab,Switzerland,"Rue de Montbrillant 94, 1201 Genève, Switzerland",46.26437518,6.117729112
ab,Switzerland,"Römerweg 21, 8424 Embrach, Switzerland",47.55971346,8.604201063
ab,Switzerland,"Ober Halden 1031, 8132 Hinteregg, Switzerland",47.35171545,8.686598518
ab,Switzerland,"Rte de la Sarine 18, 1666 Grandvillard, Switzerland",46.5794943,7.066115243
ab,Switzerland,"Zugerstrasse 52, 6312 Steinhausen, Switzerland",47.2446895,8.491586584
ab,Switzerland,"Tolackerstrasse 9, 8604 Volketswil, Switzerland",47.43925693,8.670109777
ab,Germany,"Beim Eckfeld 1, 79588 Efringen-Kirchen, Germany",47.70962804,7.57423288
ab,Germany,"Marienfelder Allee 66-80, 12277 Berlin, Germany",52.7720122,13.44815884
ab,Germany,"Zimmerstraße 79/80, 10117 Berlin, Germany",52.85169833,13.49210414
ab,Germany,"Frankenstraße 210, 90461 Nürnberg, Germany",49.79099644,10.87735825
ab,Austria,"Bergstraße 31a, 6850 Dornbirn, Austria",47.45968777,9.746769852
ab,Russia,"Izmaylovskiy Bul'var, 39/41, Moscow, Russia, 105264",55.79952157,37.7964384
ab,Italy,"Via Aristide Staderini, 9, 00155 Roma RM, Italy",41.89345227,12.58715382
ab,Italy,"VGV2+MJ Rome, Metropolitan City of Rome, Italy",41.89441015,12.50152939
ab,Italy,"Via Napoli, 58, 00184 Roma RM, Italy",41.9012789,12.49417878
ab,Kenya,"PPGR+X2F, Nairobi, Kenya",0.5412363157,36.27393
ab,South Africa,"No 80 St George's Mall Waldorf Arcade, Cape Town City Centre, Cape Town, 8001, South Africa",-31.71634262,18.69580633
ab,Tanzania,"Q9MP+4P Mumigunga, Tanzania",-2.709698027,30.20947733
ab,Egypt,"26 July St, Oraby, Al Azbakeya, Cairo Governorate, Egypt",30.54105606,31.17525908
ab,Senegal,"PFPV+Q9 Dakar, Senegal",17.12652538,-16.74270505
ab,Nigeria,"IDP camp Durumi, FIRS Training School Road, Durumi 900103, Abuja, Nigeria",9.295635178,7.387138823
ab,South Korea,"76 Gamasan-ro, Gasan-dong, Geumcheon-gu, Seoul, South Korea",37.65588458,126.8382914
ab,Japan,"Japan, 〒101-0065 Tokyo, Chiyoda City, Nishikanda, 2 Chome−5−2 TASビル 4階",35.69904938,139.7542842
ab,Thailand,"49MH+Q66, Mae La, Tha Song Yang District, Tak 63140, Thailand",17.47157955,98.29453039
ab,Pakistan,"XFFC+XV Bannu, Pakistan",33.2646378,70.45797261
ab,Nepal,"MH62+2J6, Pathari Shanishchare 56600, Nepal",26.74261653,87.57085098
ab,Cambodia,"18-D St 568, Phnom Penh, Cambodia",11.92145782,104.9451113
ab,Indonesia,"Q59R+82J, Sijantung, Galang, Batam City, Riau Islands 29485, Indonesia",0.7685735132,104.1899941
ab,Philippines,"150 Legazpi Street, Legazpi Village, Makati, 1229 Kalakhang Maynila, Philippines",15.07737979,120.9390507
ab,Papua New Guinea,"I, Keni - Vani Road, Gerehu Stage, Port Moresby 136, Papua New Guinea",-8.331992874,147.2829192
ab,China,"Hebin S Rd, Anxi County, Quanzhou, Fujian, China, 362400",25.04860308,118.2063695
ab,Saudi Arabia,"Gharbal Mazari' Subdivision, Gharb Al Mazari Subdivision, 6602، Al Jubail 35712, Saudi Arabia",27.28134329,49.61508362
ab,UAE,"Villa 54, B2, Al Ladeem St, Al Nahyan Camp Area Technology Villa, Opp. Main Bus Station Al - Muroor Rd - Abu Dhabi - United Arab Emirates",24.60369876,54.3706725
ab,Israel,"Shalma Rd 53, Tel Aviv-Yafo, Israel",32.78404455,34.58113355
ab,Cameroon,"HV64+JJR, Minawao, Cameroon",11.03381759,13.85050314
ab,Ghana,"GGFG+QC Buduburam, Ghana",5.587153101,-0.4891702966
